"area_name","area_code","date","new_cases","total_cases"
"Bexley","E09000004",2020-05-13,6,910
"Brent","E09000005",2020-05-13,4,1581
"Bromley","E09000006",2020-05-13,7,1416
"Camden","E09000007",2020-05-13,4,654
"Croydon","E09000008",2020-05-13,8,1702
"Ealing","E09000009",2020-05-13,24,1360
"Enfield","E09000010",2020-05-13,7,1066
"Greenwich","E09000011",2020-05-13,10,848
"Hackney and City of London","E09000012",2020-05-13,5,738
"Hammersmith and Fulham","E09000013",2020-05-13,3,683
"Haringey","E09000014",2020-05-13,4,677
"Harrow","E09000015",2020-05-13,3,1173
"Havering","E09000016",2020-05-13,4,836
"Hillingdon","E09000017",2020-05-13,6,960
"Hounslow","E09000018",2020-05-13,5,917
"Islington","E09000019",2020-05-13,4,494
"Kensington and Chelsea","E09000020",2020-05-13,1,515
"Kingston upon Thames","E09000021",2020-05-13,8,655
"Lambeth","E09000022",2020-05-13,6,1272
"Lewisham","E09000023",2020-05-13,10,1117
"Merton","E09000024",2020-05-13,10,832
"Newham","E09000025",2020-05-13,1,1139
"Redbridge","E09000026",2020-05-13,5,970
"Richmond upon Thames","E09000027",2020-05-13,4,479
"Southwark","E09000028",2020-05-13,5,1368
"Sutton","E09000029",2020-05-13,4,892
"Tower Hamlets","E09000030",2020-05-13,2,720
"Waltham Forest","E09000031",2020-05-13,6,916
"Wandsworth","E09000032",2020-05-13,8,1071
"Westminster","E09000033",2020-05-13,4,700
"Barking and Dagenham","E09000002",2020-05-14,2,635
"Barnet","E09000003",2020-05-14,5,1468
"Bexley","E09000004",2020-05-14,11,921
"Brent","E09000005",2020-05-14,7,1588
"Bromley","E09000006",2020-05-14,7,1423
"Camden","E09000007",2020-05-14,1,655
"Croydon","E09000008",2020-05-14,9,1711
"Ealing","E09000009",2020-05-14,19,1379
"Enfield","E09000010",2020-05-14,4,1070
"Greenwich","E09000011",2020-05-14,2,850
"Hackney and City of London","E09000012",2020-05-14,1,739
"Hammersmith and Fulham","E09000013",2020-05-14,1,684
"Haringey","E09000014",2020-05-14,5,682
"Harrow","E09000015",2020-05-14,9,1182
"Havering","E09000016",2020-05-14,5,841
"Hillingdon","E09000017",2020-05-14,9,969
"Hounslow","E09000018",2020-05-14,5,922
"Islington","E09000019",2020-05-14,1,495
